,Genus
otu3430,unclassified_Prevotellaceae
otu2402,unclassified_Prevotellaceae
otu348,Prevotella
otu287,Prevotella
otu2889,unclassified_Prevotellaceae
otu3966,Prevotella
otu4123,Prevotella
otu1435,Prevotella
otu2174,Prevotella
otu222,Prevotella
otu282,Lachnospiraceae UCG-004
otu243,Lachnospiraceae UCG-004
otu36,Lachnospiraceae UCG-004
otu3828,Prevotella
otu2918,unclassified_Prevotellaceae
otu1763,Alloprevotella
otu442,Campylobacter
otu3696,Campylobacter
otu1567,Campylobacter
otu1092,Campylobacter
otu2890,Campylobacter
otu4086,Campylobacter
otu188,Campylobacter
otu731,Synergistes
otu2237,Bilophila
otu2697,Desulfovibrio
otu3738,Propionibacterium
otu2705,Propionibacterium
otu1448,Cutibacterium
otu3926,Flaviflexus
otu4096,Jonesia
otu3218,Georgenia
otu3619,Actinomyces
otu3635,Actinomyces
otu3145,Actinomyces
otu4089,Actinomyces
otu2682,Actinomyces
otu3154,Actinomyces
otu4062,Actinomyces
otu1280,Actinomyces
otu842,Actinomyces
otu1788,Actinomyces
otu3093,Actinomyces
otu3610,Actinomyces
otu3470,Actinomyces
otu2280,Actinomyces
otu1004,Actinomyces
otu1937,Actinomyces
otu3042,Actinomyces
otu2028,Actinomyces
otu1421,Corynebacterium
otu2058,Corynebacterium
otu3259,Corynebacterium
otu4151,Corynebacterium
otu3595,Corynebacterium
otu3968,Brachybacterium
otu3536,unclassified_Microbacteriaceae
otu1911,unclassified_Microbacteriaceae
otu2880,Microbacterium
otu3228,Micrococcus
otu3594,Rothia
otu4078,Rothia
otu2812,Rothia
otu1486,unidentified
otu2104,unclassified_Coriobacteriales Incertae Sedis
otu3169,unclassified_Coriobacteriales Incertae Sedis
otu2492,unclassified_Coriobacteriales Incertae Sedis
otu2501,Raoultibacter
otu4071,unidentified
otu3283,Raoultibacter
otu1964,Slackia
otu3427,unclassified_Eggerthellaceae
otu3268,CHKCI002
otu1414,unclassified_Eggerthellaceae
otu2064,Gordonibacter
otu3746,unidentified
otu3807,Eggerthella
otu1323,Eggerthella
otu1809,Eggerthella
otu2837,Gordonibacter
otu3338,Eggerthella
otu4140,unclassified_Eggerthellaceae
otu2917,unclassified_Eggerthellaceae
otu1588,Enteroscipio
otu3204,Collinsella
otu1002,Collinsella
otu2809,Collinsella
otu3940,Collinsella
otu3986,Collinsella
otu3985,Enorma
otu1857,Senegalimassilia
otu2464,Enterorhabdus
otu3198,Enterorhabdus
otu1832,Enterorhabdus
otu1696,Enterorhabdus
otu2248,Atopobium
otu3731,Atopobium
otu3459,Olsenella
otu2965,Olsenella
otu2395,Libanicoccus
otu3810,Olsenella
otu3837,unidentified
otu3707,unidentified
otu2801,Victivallis
otu303,Victivallis
otu2744,Deinococcus
otu3870,Deinococcus
otu2928,Meiothermus
otu3312,Thermus
otu2643,Candidatus Saccharimonas
otu2200,TM7x
otu4076,TM7x
otu3047,TM7x
otu3279,TM7x
otu4215,Candidatus Saccharimonas
otu3474,TM7a
otu437,Parasutterella
otu769,Parasutterella
otu1157,Parasutterella
otu715,Parasutterella
otu3760,Parasutterella
otu389,Parasutterella
otu1483,Parasutterella
otu1221,Parasutterella
otu1266,Parasutterella
otu1420,Parasutterella
otu776,Parasutterella
otu905,Sutterella
otu2002,Sutterella
otu2406,Sutterella
otu3928,Sutterella
otu268,Sutterella
otu2642,Sutterella
otu637,Sutterella
otu205,Sutterella
otu34,Sutterella
otu438,Sutterella
otu3881,Sutterella
otu3690,Sutterella
otu409,Sutterella
otu808,Sutterella
otu402,Sutterella
otu159,Sutterella
otu1272,Sutterella
otu718,Sutterella
otu294,Sutterella
otu594,Sutterella
otu1621,Sutterella
otu254,Alicycliphilus
otu642,Comamonas
otu3646,unclassified_Neisseriaceae
